sequence,x,y,z,force,target_force,tolerance_abs_map,tolerance_pct_map,deviation_abs,deviation_pct,tolerance_abs_limit,tolerance_pct_limit,within_tolerance_abs,within_tolerance_pct,within_tolerance,移动平均,移动标准差,Q1,Q3,IQR,is_outlier,z_score,is_z_outlier,cluster,error_value
46,94.4,97.3,109.5,1.5,5,0.5,5,-3.5,-70,0.5,0.25,FALSE,FALSE,FALSE,5.8,2.518376902336547,3.2250000000000005,6.225,2.999999999999999,FALSE,1.4422468254742684,FALSE,1,3.5
47,98,92.7,99.5,25.2,25,1,4,0.1999999999999993,0.7999999999999973,1,1,TRUE,TRUE,TRUE,25.27,1.7352873601286387,23.8,26.4,2.599999999999998,FALSE,0.13877917430560455,FALSE,1,0.1999999999999993
48,97.7,103.4,93.2,48.9,50,2,3,-1.1000000000000014,-2.200000000000003,2,1.5,TRUE,TRUE,TRUE,49.86,1.7715028146244147,49.3,51.5,2.200000000000003,FALSE,0.7050131386873707,FALSE,4,1.1000000000000014
49,103.9,110.5,96.7,3.1,5,0.5,5,-1.9,-38,0.5,0.25,FALSE,FALSE,FALSE,5.2700000000000005,2.467589917307979,3.2250000000000005,6.225,2.999999999999999,FALSE,0.7089923646723975,FALSE,4,1.9
50,99.6,93.6,102.4,24.6,25,1,4,-0.3999999999999986,-1.5999999999999945,1,1,TRUE,TRUE,TRUE,25.05,1.657474652060242,23.8,26.4,2.599999999999998,FALSE,0.14161140235265676,FALSE,2,0.3999999999999986
51,101.3,103.9,98.1,52,50,2,3,2,4,2,1.5,TRUE,FALSE,FALSE,50.01,1.891178351069924,49.3,51.5,2.200000000000003,FALSE,0.9230420325929451,FALSE,4,2
52,99.9,103.8,97.2,1,5,0.5,5,-4,-80,0.5,0.25,FALSE,FALSE,FALSE,4.63,2.675007788150656,3.2250000000000005,6.225,2.999999999999999,FALSE,1.671388844474853,FALSE,4,4
53,99.8,101.7,98.3,24.1,25,1,4,-0.8999999999999986,-3.5999999999999943,1,1,TRUE,TRUE,TRUE,25.23,1.4040022158893553,23.8,26.4,2.599999999999998,FALSE,0.37527021623454204,FALSE,4,0.8999999999999986
54,106.8,95,100.5,50.2,50,2,3,0.20000000000000284,0.40000000000000563,2,1.5,TRUE,TRUE,TRUE,49.9,1.8390818965511635,49.3,51.5,2.200000000000003,FALSE,0.022280324924655686,FALSE,2,0.20000000000000284
55,98.9,99.4,108,3.2,5,0.5,5,-1.7999999999999998,-36,0.5,0.25,FALSE,FALSE,FALSE,4.55,2.707705055331298,3.2250000000000005,6.225,2.999999999999999,FALSE,0.6631639608722805,FALSE,2,1.7999999999999998
56,107.6,98.6,99.6,25.7,25,1,4,0.6999999999999993,2.799999999999997,1,1,TRUE,TRUE,TRUE,25.16,1.3558105406811898,23.8,26.4,2.599999999999998,FALSE,0.3724379881874898,FALSE,3,0.6999999999999993
57,92.3,102.8,105.4,50.8,50,2,3,0.7999999999999972,1.5999999999999945,2,1.5,TRUE,TRUE,TRUE,49.99,1.8609734609129234,49.3,51.5,2.200000000000003,FALSE,0.29282712758120877,FALSE,1,0.7999999999999972
58,102.9,98.1,103.2,4.9,5,0.5,5,-0.09999999999999964,-1.9999999999999927,0.5,0.25,TRUE,TRUE,TRUE,4.41,2.6425787069115314,3.2250000000000005,6.225,2.999999999999999,FALSE,0.11591890372970753,FALSE,3,0.09999999999999964
59,100.6,104.9,99.4,20.1,25,1,4,-4.899999999999999,-19.599999999999994,1,1,FALSE,FALSE,FALSE,24.400000000000002,1.8233059108236451,23.8,26.4,2.599999999999998,FALSE,2.244540727289624,FALSE,4,4.899999999999999
60,101.1,98.1,92.3,55.1,50,2,3,5.100000000000001,10.200000000000003,2,1.5,FALSE,FALSE,FALSE,50.5,2.4648642063114874,49.3,51.5,2.200000000000003,TRUE,2.551097203873261,FALSE,3,5.100000000000001
61,101.9,105.3,97.4,4.6,5,0.5,5,-0.40000000000000036,-8.000000000000007,0.5,0.25,TRUE,FALSE,FALSE,4.17,2.485535935947998,3.2250000000000005,6.225,2.999999999999999,FALSE,0.021566307670643593,FALSE,4,0.40000000000000036
62,97.5,94.8,97.6,26.3,25,1,4,1.3000000000000007,5.200000000000003,1,1,FALSE,FALSE,FALSE,24.77,1.7926082796987306,23.8,26.4,2.599999999999998,FALSE,0.6528285648457528,FALSE,1,1.3000000000000007
63,98.3,93.7,100.2,50.5,50,2,3,0.5,1,2,1.5,TRUE,TRUE,TRUE,50.69,2.3736750690297392,49.3,51.5,2.200000000000003,FALSE,0.13527340132827653,FALSE,1,0.5
64,94.9,116.2,106.5,7,5,0.5,5,2,40,0.5,0.25,FALSE,FALSE,FALSE,4.07,2.3295445429907065,3.2250000000000005,6.225,2.999999999999999,FALSE,1.078315383532163,FALSE,5,2
65,94.6,97.9,111.5,26.6,25,1,4,1.6000000000000014,6.400000000000006,1,1,FALSE,FALSE,FALSE,24.85,1.8602568520383291,23.8,26.4,2.599999999999998,FALSE,0.7930238531748842,FALSE,1,1.6000000000000014
66,101.5,101.5,107.7,49.6,50,2,3,-0.3999999999999986,-0.7999999999999973,2,1.5,TRUE,TRUE,TRUE,51.06,1.7506824066314512,49.3,51.5,2.200000000000003,FALSE,0.3373877774305239,FALSE,2,0.3999999999999986
67,102.2,103.2,99.3,5.8,5,0.5,5,0.7999999999999998,15.999999999999998,0.5,0.25,FALSE,FALSE,FALSE,4.42,2.2967610043518047,3.2250000000000005,6.225,2.999999999999999,FALSE,0.5283745379307597,FALSE,4,0.7999999999999998
68,100.3,97.6,91.2,23.1,25,1,4,-1.8999999999999986,-7.599999999999994,1,1,FALSE,FALSE,FALSE,24.7,1.9413626371414712,23.8,26.4,2.599999999999998,FALSE,0.8425878439983125,FALSE,3,1.8999999999999986
69,104.6,102.6,98.1,51.7,50,2,3,1.7000000000000028,3.4000000000000057,2,1.5,TRUE,FALSE,FALSE,51.06,1.7506824066314512,49.3,51.5,2.200000000000003,FALSE,0.7654883063400129,FALSE,3,1.7000000000000028
70,110.3,101.8,100.4,4.1,5,0.5,5,-0.9000000000000004,-18.000000000000007,0.5,0.25,FALSE,FALSE,FALSE,4.35,2.2945587811167534,3.2250000000000005,6.225,2.999999999999999,FALSE,0.2507083266712283,FALSE,3,0.9000000000000004
71,97.5,98.9,104.2,29.8,25,1,4,4.800000000000001,19.200000000000003,1,1,FALSE,FALSE,FALSE,25.060000000000002,2.502976006454894,23.8,26.4,2.599999999999998,FALSE,2.2884402620189497,FALSE,2,4.800000000000001
72,88.5,100.3,104.8,46.7,50,2,3,-3.299999999999997,-6.599999999999994,2,1.5,FALSE,FALSE,FALSE,50.54,2.190484472034034,49.3,51.5,2.200000000000003,FALSE,1.8604071312088823,FALSE,1,3.299999999999997
73,105,99.8,103.4,4.1,5,0.5,5,-0.9000000000000004,-18.000000000000007,0.5,0.25,FALSE,FALSE,FALSE,3.9299999999999997,1.8282049483942804,3.2250000000000005,6.225,2.999999999999999,FALSE,0.2507083266712283,FALSE,3,0.9000000000000004
74,96.5,110.6,93,26.7,25,1,4,1.6999999999999993,6.799999999999998,1,1,FALSE,FALSE,FALSE,25.22,2.5563863383907974,23.8,26.4,2.599999999999998,FALSE,0.8397556159512602,FALSE,4,1.6999999999999993
75,96.6,96.3,104.2,51,50,2,3,1,2,2,1.5,TRUE,TRUE,TRUE,50.65,2.1823789262586315,49.3,51.5,2.200000000000003,FALSE,0.39786294508316605,FALSE,2,1
76,105.1,94.5,97.8,3.8,5,0.5,5,-1.2000000000000002,-24.000000000000004,0.5,0.25,FALSE,FALSE,FALSE,4.16,1.6215219188568908,3.2250000000000005,6.225,2.999999999999999,FALSE,0.388193538071579,FALSE,2,1.2000000000000002
77,98.6,100.2,100.9,23,25,1,4,-2,-8,1,1,FALSE,FALSE,FALSE,25,2.651205176686423,23.8,26.4,2.599999999999998,FALSE,0.8893196067746902,FALSE,3,2
78,93.9,101.6,100.4,50.3,50,2,3,0.29999999999999716,0.5999999999999943,2,1.5,TRUE,TRUE,TRUE,50.79,2.1010314927038416,49.3,51.5,2.200000000000003,FALSE,0.030237583826319234,FALSE,1,0.29999999999999716
79,100.9,102.2,102.1,5,5,0.5,5,0,0,0.5,0.25,TRUE,TRUE,TRUE,4.35,1.5946089733153321,3.2250000000000005,6.225,2.999999999999999,FALSE,0.1617473075298243,FALSE,4,0
80,99.3,97.7,100.1,21.4,25,1,4,-3.6000000000000014,-14.400000000000004,1,1,FALSE,FALSE,FALSE,24.68,2.887444083152665,23.8,26.4,2.599999999999998,FALSE,1.6370278111967238,FALSE,3,3.6000000000000014
81,100,94.7,91.7,50.1,50,2,3,0.10000000000000142,0.20000000000000281,2,1.5,TRUE,TRUE,TRUE,50.6,2.0650531335644717,49.3,51.5,2.200000000000003,FALSE,0.07479823367563435,FALSE,3,0.10000000000000142
82,101.9,106.3,103.7,5.4,5,0.5,5,0.40000000000000036,8.000000000000007,0.5,0.25,TRUE,FALSE,FALSE,4.79,1.0969148655306948,3.2250000000000005,6.225,2.999999999999999,FALSE,0.3450609227302922,FALSE,4,0.40000000000000036
83,98.1,98.3,101.9,25.3,25,1,4,0.3000000000000007,1.2000000000000028,1,1,TRUE,TRUE,TRUE,24.8,2.8855964143772197,23.8,26.4,2.599999999999998,FALSE,0.18551093708198224,FALSE,3,0.3000000000000007
84,103.2,95.7,98.7,47.9,50,2,3,-2.1000000000000014,-4.200000000000003,2,1.5,FALSE,FALSE,FALSE,50.37,2.2355958688655893,49.3,51.5,2.200000000000003,FALSE,1.2301922261971499,FALSE,2,2.1000000000000014
85,98.9,98.8,100.6,6,5,0.5,5,1,20,0.5,0.25,FALSE,FALSE,FALSE,5.07,0.9989438867568534,3.2250000000000005,6.225,2.999999999999999,FALSE,0.6200313455309937,FALSE,3,1
86,101.7,99,100.7,27.8,25,1,4,2.8000000000000007,11.200000000000003,1,1,FALSE,FALSE,FALSE,25.01,3.0311164059908138,23.8,26.4,2.599999999999998,FALSE,1.3538050064914084,FALSE,3,2.8000000000000007
87,105.5,105.5,101.1,50.9,50,2,3,0.8999999999999986,1.7999999999999972,2,1.5,TRUE,TRUE,TRUE,50.38,2.237955416098463,49.3,51.5,2.200000000000003,FALSE,0.34534503633218744,FALSE,4,0.8999999999999986
88,102.2,100.4,108.2,2.7,5,0.5,5,-2.3,-46,0.5,0.25,FALSE,FALSE,FALSE,4.85,1.2509996003196804,3.2250000000000005,6.225,2.999999999999999,FALSE,0.8923059798728651,FALSE,2,2.3
89,98.4,103.8,98.9,24.1,25,1,4,-0.8999999999999986,-3.5999999999999943,1,1,TRUE,TRUE,TRUE,25.41,2.5344076669356537,23.8,26.4,2.599999999999998,FALSE,0.37527021623454204,FALSE,4,0.8999999999999986
90,105.7,97.5,100.8,50.7,50,2,3,0.7000000000000028,1.4000000000000057,2,1.5,TRUE,TRUE,TRUE,49.94,1.526215362697327,49.3,51.5,2.200000000000003,FALSE,0.24030921883023384,FALSE,2,0.7000000000000028
91,105,101.1,105.8,3.7,5,0.5,5,-1.2999999999999998,-25.999999999999996,0.5,0.25,FALSE,FALSE,FALSE,4.76,1.3023056476879764,3.2250000000000005,6.225,2.999999999999999,FALSE,0.4340219418716958,FALSE,3,1.2999999999999998
92,102.7,98.4,105.3,20.7,25,1,4,-4.300000000000001,-17.200000000000003,1,1,FALSE,FALSE,FALSE,24.85,2.9071750319969847,23.8,26.4,2.599999999999998,FALSE,1.9641501506313628,FALSE,3,4.300000000000001
93,101.2,100.5,105.7,51.8,50,2,3,1.7999999999999972,3.5999999999999943,2,1.5,TRUE,FALSE,FALSE,50.07,1.6309847059709386,49.3,51.5,2.200000000000003,FALSE,0.8180062150909878,FALSE,2,1.7999999999999972
94,96.9,95.5,97.1,3.3,5,0.5,5,-1.7000000000000002,-34,0.5,0.25,FALSE,FALSE,FALSE,4.39,1.1059937713306627,3.2250000000000005,6.225,2.999999999999999,FALSE,0.6173355570721637,FALSE,1,1.7000000000000002
95,106.8,93.4,110,23.9,25,1,4,-1.1000000000000014,-4.400000000000006,1,1,FALSE,FALSE,FALSE,24.58,2.8514323885841426,23.8,26.4,2.599999999999998,FALSE,0.46873374178729743,FALSE,2,1.1000000000000014
96,97,110,100.3,53,50,2,3,3,6,2,1.5,FALSE,FALSE,FALSE,50.41,1.8603763060198328,49.3,51.5,2.200000000000003,FALSE,1.4482211201027242,FALSE,4,3
97,110.9,103,109.3,3.5,5,0.5,5,-1.5,-30,0.5,0.25,FALSE,FALSE,FALSE,4.16,1.0156552345927015,3.2250000000000005,6.225,2.999999999999999,FALSE,0.5256787494719297,FALSE,2,1.5
98,107.7,93.7,93.2,26.7,25,1,4,1.6999999999999993,6.799999999999998,1,1,FALSE,FALSE,FALSE,24.94,2.8710044699837494,23.8,26.4,2.599999999999998,FALSE,0.8397556159512602,FALSE,3,1.6999999999999993
99,98.8,96.9,100.1,47.5,50,2,3,-2.5,-5,2,1.5,FALSE,FALSE,FALSE,49.99,2.005243127403756,49.3,51.5,2.200000000000003,FALSE,1.4402638612010605,FALSE,3,2.5
100,94.9,94.1,106.2,4.3,5,0.5,5,-0.7000000000000002,-14.000000000000004,0.5,0.25,FALSE,FALSE,FALSE,4.18,1.0163114133418403,3.2250000000000005,6.225,2.999999999999999,FALSE,0.15905151907099432,FALSE,1,0.7000000000000002
